LANGUAGE, English,French,Italian,Spanish,German, Comment

STRD_02,2 minutes remaining,Il vous reste 2 minutes,2 minuti rimasti,Quedan 2 minutos,noch 2 Minuten, Title
STRD_03,5 minutes remaining,Il vous reste 5 minutes,5 minuti rimasti,Quedan 5 minutos,noch 5 Minuten, Title
STRD_04,10 minutes remaining,Il vous reste 10 minutes,10 minuti rimasti,Quedan 10 minutos,noch 10 Minuten, Title
STRD_05,20 minutes remaining,Il vous reste 20 minutes,20 minuti rimasti,Quedan 20 minutos,noch 20 Minuten, Title
STRD_06,30 minutes remaining,Il vous reste 30 minutes,30 minuti rimasti,Quedan 30 minutos,noch 30 Minuten, Title
STRD_07,1 hour remaining,Il vous reste 1 heure,1 ora rimasta,Queda 1 hora,noch 1 Stunde, Title

STRD_08,"Time/Score to win:",Temps/Score to win:,Tempo/Score to win:,Tiempo/Score to win:,Zeit/Score to win:, Param

STRD_12,"Unlimited",Temps illimité,Tempo illimitato,Ilimitado,Unbegrenzt, Param

STRD_T005,"5 min",5 min,5 min.,5 minutos,5 Min., Param
STRD_T010,"10 min",10 min,10 min.,10 minutos,10 Min., Param
STRD_T015,"15 min",15 min,15 min.,15 minutos,15 Min., Param
STRD_T020,"20 min",20 min,20 min.,20 minutos,20 Min., Param
STRD_T025,"25 min",25 min,25 min.,25 minutos,25 Min., Param
STRD_T030,"30 min",30 min,30 min.,30 minutos,30 Min., Param
STRD_T045,"45 min",45 min,45 min.,45 minutos,45 Min., Param
STRD_T060,"1 hour",1 heure,1 ora,1 hora,1 Stunde, Param
STRD_T120,"2 hours",2 heures,2 ore,2 horas,2 Stunden, Param
